47	17	5	8	11	11	19	14	15	4	6	9	9	18	13	13	3	5	8	8	17	12	12	2	4	7	7	15	10	11
50	28	26	20	19	15	24	22	29	25	20	18	15	23	21	28	25	19	17	14	23	20	27	24	18	16	13	22	20	27
52	16	11	8	5	2	8	9	17	11	8	5	2	8	9	16	10	7	5	2	8	9	16	10	7	5	2	8	9	16
57	38	32	28	27	27	38	41	36	31	29	28	28	39	42	38	33	31	30	29	41	44	39	35	32	31	31	42	45	41
73	7	5	8	4	3	3	4	7	5	8	4	3	3	4	7	5	8	4	3	3	4	6	5	8	4	2	3	4	6
75	7	0	1	2	0	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76	18	16	16	13	14	18	16	19	17	17	14	14	18	16	20	17	18	14	15	19	17	21	18	18	15	16	20	18	21
77	27	24	23	16	17	24	23	27	25	23	17	17	25	24	27	25	24	17	18	25	25	28	26	24	18	18	26	25	29
82	15	17	9	11	7	10	10	14	17	9	11	7	10	10	13	16	8	10	7	9	9	13	16	8	10	6	9	9	13
84	11	15	11	10	10	7	10	11	15	11	10	11	8	10	11	16	11	10	11	8	10	11	16	11	11	11	8	10	11
87	14	11	11	13	12	14	16	14	11	11	13	12	14	16	14	11	11	13	12	14	16	14	11	11	13	12	14	16	14
88	24	23	24	20	16	26	21	26	25	25	21	18	27	22	27	26	26	22	19	28	23	28	27	27	23	20	29	24	29
89	8	8	6	8	8	4	5	8	9	6	8	8	4	5	8	9	7	8	8	4	5	8	9	7	9	9	5	6	9
104	18	21	14	15	9	17	19	19	21	14	15	10	17	19	19	21	14	15	10	17	20	19	21	14	15	10	17	20	19
105	27	28	26	25	25	27	30	27	29	27	26	27	29	32	29	31	29	28	29	30	33	31	32	31	30	30	32	35	32
107	7	5	2	8	10	4	3	7	5	2	8	9	4	3	7	5	2	8	9	4	3	7	5	2	8	9	4	2	6
109	11	10	12	4	3	7	11	11	9	11	4	3	7	11	10	9	11	4	3	6	11	10	9	10	3	2	6	10	9
121	8	7	7	6	5	10	10	8	6	6	6	5	9	9	8	6	6	5	5	9	9	7	6	6	5	4	9	9	7
122	7	2	0	2	0	0	0	6	0	0	0	0	0	0	5	0	0	0	0	0	0	3	0	0	0	0	0	0	2
125	11	11	8	7	5	10	8	12	12	9	7	5	11	8	12	12	9	7	6	11	8	12	12	9	8	6	11	9	12
129	23	22	23	19	16	22	25	24	23	24	21	18	24	26	25	24	25	22	19	25	27	27	25	26	23	20	26	28	28
136	7	9	10	8	10	10	9	7	10	11	8	11	10	9	8	11	11	9	11	11	10	8	11	12	9	12	12	10	9
138	13	9	6	5	9	9	10	14	10	7	5	9	9	10	15	10	7	6	10	10	10	15	10	8	6	10	10	11	16
139	10	8	6	5	5	8	9	9	7	6	5	4	8	8	8	6	5	4	4	7	7	7	5	4	3	3	6	7	7
150	21	15	16	15	13	19	18	21	16	17	16	14	20	19	21	17	18	16	15	20	20	22	18	19	17	16	21	21	23
153	12	15	11	11	8	13	12	12	15	11	11	9	13	12	12	15	11	12	9	13	12	13	16	12	12	9	14	13	13
156	1	3	0	0	2	3	0	1	2	0	0	2	3	0	1	2	0	0	2	2	0	0	2	0	0	1	2	0	0
158	19	23	23	15	14	23	24	23	23	24	16	15	24	25	23	24	25	17	16	25	26	24	25	26	18	17	26	27	25
163	3	4	1	3	1	1	3	3	3	0	2	0	0	2	2	2	0	1	0	0	1	1	1	0	0	0	0	0	0
167	9	8	7	6	6	6	8	8	9	7	6	6	6	9	8	9	7	6	6	6	9	9	9	7	6	6	6	9	9
170	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
181	9	6	8	7	11	11	9	9	6	8	7	11	12	9	10	7	8	7	11	12	10	10	7	9	8	12	12	10	10
196	7	6	5	3	2	4	6	6	5	4	2	1	3	5	5	4	3	1	0	2	4	4	3	2	0	0	1	2	3
216	15	17	17	14	18	18	18	16	17	18	14	19	19	19	17	18	19	15	20	20	20	18	19	20	16	21	21	21	19
223	4	5	3	4	4	3	4	4	5	3	4	4	3	4	3	5	2	3	4	3	3	3	4	2	3	3	3	3	3
235	16	13	11	12	11	13	13	17	13	12	12	11	13	13	17	14	12	13	12	14	14	17	14	13	13	12	14	14	18
237	13	13	12	12	13	14	14	13	14	13	12	14	14	15	14	15	14	13	15	15	15	15	16	14	14	15	16	16	16
238	15	13	14	13	14	17	17	16	14	15	14	14	17	18	17	15	15	15	15	18	19	18	16	16	15	16	19	19	18
263	5	4	4	3	4	6	5	5	5	4	3	4	6	6	6	5	4	4	5	6	6	6	5	5	4	5	7	6	6
274	7	9	7	5	5	7	7	7	9	8	6	5	7	7	8	10	8	6	6	8	8	8	10	8	6	6	8	8	9
276	8	6	6	4	3	6	7	8	6	6	4	3	5	7	8	6	6	4	3	5	7	8	6	6	3	2	5	6	8
278	4	4	3	2	4	5	5	4	4	4	2	4	5	5	4	4	4	3	4	5	6	4	5	4	3	4	5	6	4
290	6	3	3	3	2	3	3	5	3	3	3	2	3	2	5	3	3	3	2	2	2	5	3	3	2	1	2	2	5
296	17	15	13	12	11	17	15	18	16	14	13	12	18	16	19	17	15	14	13	19	17	20	18	16	15	14	20	18	21
307	10	8	8	7	6	8	9	10	8	8	7	6	8	9	10	9	9	7	6	9	10	11	9	9	8	7	9	10	11
330	7	5	4	5	7	6	7	8	5	4	5	7	6	7	8	6	4	5	7	6	7	8	6	4	5	7	7	7	8
333	5	5	4	1	0	2	4	6	5	4	1	0	2	4	6	5	5	1	0	3	4	6	5	5	2	0	3	4	6
338	12	14	12	12	11	12	13	13	14	12	13	12	13	14	13	15	13	13	13	14	15	14	16	14	14	13	15	15	15
341	4	6	4	4	5	5	5	5	6	4	4	5	5	5	5	7	4	5	5	6	5	5	7	5	5	5	6	5	5
343	6	8	8	8	8	8	8	8	9	8	8	8	8	8	8	9	9	9	8	9	8	8	10	9	9	9	9	9	9
361	9	8	7	7	5	8	9	9	9	8	7	5	8	9	10	9	8	7	6	9	10	10	9	8	8	6	9	10	11
372	2	1	2	1	1	3	3	2	1	1	1	1	3	3	1	1	1	1	0	2	2	1	0	1	0	0	2	2	1
378	5	6	5	5	4	7	6	5	6	5	6	5	7	7	5	6	6	6	5	7	7	6	7	6	6	5	7	7	6
384	3	4	4	3	2	4	4	3	4	4	3	2	4	5	3	4	4	3	2	4	5	3	5	4	3	2	4	5	4
415	6	6	5	6	5	4	6	6	6	6	6	5	5	6	6	7	6	6	5	5	6	6	7	6	6	6	5	7	7
430	6	6	6	6	6	6	7	6	7	6	6	6	6	7	7	7	6	6	7	6	7	7	7	7	6	7	6	7	7
431	4	4	5	4	4	5	6	4	4	6	4	4	5	6	4	4	6	4	4	5	6	5	5	6	4	4	5	6	5
442	6	7	8	7	7	8	9	7	7	8	8	8	9	9	8	8	9	8	8	9	9	8	8	9	9	9	10	10	9
455	1	1	1	1	1	2	2	1	1	0	1	0	1	2	1	1	0	1	0	1	1	0	1	0	0	0	1	1	0
475	5	4	4	3	1	3	3	5	4	4	3	1	3	4	5	4	4	3	2	3	4	5	4	4	3	2	3	4	6
486	10	10	10	10	10	12	12	11	11	11	11	11	13	12	12	11	11	12	11	13	13	12	12	12	12	12	14	14	13
499	3	2	2	1	1	2	2	2	2	1	0	1	2	2	2	2	1	0	0	2	2	2	1	1	0	0	1	2	2
506	4	3	4	2	4	3	4	4	3	4	2	4	3	4	3	3	4	2	4	3	4	3	3	4	2	4	3	3	3
511	4	3	2	0	0	3	3	4	3	1	0	0	3	3	4	2	1	0	0	2	3	4	2	1	0	0	2	2	4
515	6	5	2	3	5	5	5	6	5	2	3	5	6	5	7	5	3	3	5	6	5	7	5	3	3	5	6	6	7
538	4	4	2	2	2	4	4	4	4	2	2	2	4	4	4	4	2	2	2	4	4	4	4	2	2	2	4	4	4
596	6	3	3	2	3	3	5	6	3	3	2	3	3	5	6	2	3	1	3	3	5	5	2	3	1	3	3	4	5
610	2	1	2	0	0	1	2	2	1	2	0	0	1	2	2	1	2	1	1	2	2	2	1	2	1	1	2	2	2
650	5	6	3	5	3	5	5	5	6	3	5	3	5	4	5	6	3	5	2	5	4	5	6	3	4	2	5	4	4
661	5	6	6	5	5	5	5	5	6	6	5	5	6	6	6	7	7	5	5	6	6	6	7	7	6	5	6	6	6
669	2	1	2	1	1	1	1	2	1	2	1	1	1	1	2	1	2	1	1	1	1	2	1	2	0	1	1	1	2
672	3	2	1	2	1	2	3	3	2	1	1	1	2	3	3	2	1	1	1	2	3	3	2	1	1	1	2	2	3
716	3	2	2	1	1	2	2	3	2	2	1	1	2	2	3	2	2	1	1	2	2	3	2	2	1	1	2	2	3
720	5	5	4	3	3	4	5	5	5	4	3	3	4	5	5	5	4	3	3	4	5	5	5	4	4	3	4	5	5
801	4	2	2	2	3	3	3	4	2	2	1	3	3	3	4	2	2	1	3	3	3	4	2	2	1	3	3	3	4
829	2	1	1	1	0	1	2	2	1	1	1	0	1	2	2	1	1	0	0	1	1	2	1	1	0	0	0	1	2
848	6	6	3	4	5	5	5	6	6	3	4	5	5	5	6	6	3	4	5	5	6	6	6	3	4	5	5	6	6
865	4	4	4	4	4	5	5	5	4	4	4	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5
922	5	6	3	4	3	4	5	5	6	3	4	3	4	5	5	6	3	4	3	5	5	5	6	3	4	3	5	5	5
949	2	0	0	0	1	1	1	2	0	0	0	1	1	1	2	0	0	0	1	1	1	2	0	0	0	1	1	1	2
962	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
964	2	2	3	2	2	4	3	1	2	2	2	2	4	3	1	2	2	1	1	4	3	1	1	2	1	1	3	3	1
